22343432,Adam,Wimble,67 Bally Gowen Galway,adamwimble@gmail.com,+353863451222,LM121
22346423,John,Turner,23 Elner Street Cork,johnturner@gmail.com,+353896655122,LM121
22347542,Markus,Bradley,45 Rois Mill Limerick,markusbradley@gmail.com,+353776609877,LM121
22372377,JS,SJ,DUBLIN,22372177@studentmail.ul.ie,+353776653455,LM051
22374248,Eryk,Marcinkowski,35 Lock Mills Grove,erykdoublem@gmail.com,+353776655122,LM121
23082645,Bob,Marley,Jamaica,bob@marely.ja,+4699008765,LM111
23367677,Sinead,Oboyle,may,s.o@ul.ie,+353876655422,LM051
23623005,Irene,Lopez,Dublin,irene.lope@gmail.com,+353872377883,LM051
23771741,Mark,Marcus,HELLO,mark@m.ul.ie,+353667788900,LM111
23941031,Polly,Mea,UK,polly@mae.com,+49223355677,LM111
23961117,Jakub,Sokal,Carlow,22372377@studentmail.ul.ie,+353894525922,LM051
